num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,60,0,10,5.7927,0.9712480238426667,"[0.7010994103484293, 0.7056051743149997, 0.6999343930254918, 0.6998320149088872, 0.7010820967879635, 0.6996273585390522, 0.7000449258854292, 0.7045789057863772, 0.7060877441852984, 0.7008279275407386]"
5,20,60,0,10,5.8087,0.9723017322327134,"[0.6978485740244476, 0.7029210401131967, 0.6964937956093252, 0.7084128282759734, 0.7030395739621551, 0.7037088911426944, 0.7092802435993771, 0.7063173783100328, 0.6993774202043156, 0.7101058753556275]"
5,20,60,0,12,6.7599,0.9737866692502599,"[0.6902799734775221, 0.6897515901319345, 0.6959690622333694, 0.6951927529033239, 0.693429594510623, 0.6929880916211318, 0.6907723310282239, 0.6923350330940986, 0.6889684954881804, 0.6901659875495136, 0.6927435651948325, 0.6938745191033012]"
5,20,60,0,12,6.7706,0.9741365151535057,"[0.6899710331902171, 0.6889101042030077, 0.6891546805465496, 0.6929122529892102, 0.6906919435540679, 0.6963343707372215, 0.6925156197773529, 0.6983954971033123, 0.6979012736962281, 0.6923722352765577, 0.6946611838542857, 0.6918077358574914]"
5,20,60,0,14,7.7371,0.9766783616631386,"[0.6900996763943095, 0.6873531915052268, 0.6862127499699628, 0.692233624607357, 0.6842323067165075, 0.6868357121436484, 0.684980612000604, 0.6850924926223142, 0.6862116809926454, 0.6847679184426013, 0.6886989865195343, 0.6855527970862201, 0.6842586131331037, 0.6856421010930326]"
5,20,60,0,14,7.7425,0.9764060394057907,"[0.6873920861314585, 0.6886231436866448, 0.6893290778422951, 0.68884468813339, 0.6881031136893633, 0.6854053277141977, 0.6821276779611578, 0.69014785627086, 0.6822321181790608, 0.6864591817519912, 0.6908611063126314, 0.6857868320760946, 0.6854272305070146, 0.6816489712272175]"
5,20,60,0,16,8.6597,0.9778929711010096,"[0.6821371379696899, 0.6844835459068046, 0.6760763487834787, 0.6778026394802548, 0.6765780486183106, 0.6790608870415334, 0.6754484489629676, 0.6818774912119254, 0.6811793202941768, 0.6855611261119148, 0.6855303402471583, 0.6771636141278724, 0.6796534601625724, 0.6775171870063463, 0.6806074126668478, 0.6783901720786513]"
5,20,60,0,16,8.6692,0.9769494042470226,"[0.6814773264065436, 0.6781052015129804, 0.6819502460079371, 0.6803673490941261, 0.6774780556147018, 0.6711973772104304, 0.6791187347807595, 0.6794042041357629, 0.6812585047740666, 0.6787062545075286, 0.6769729759383881, 0.6821403141570063, 0.6746998728561906, 0.6781926993987077, 0.6796491856199051, 0.6815325124923253]"
5,20,60,1,10,5.8875,0.96809196269784,"[0.6939655577201965, 0.6937518765749991, 0.6975413665240239, 0.6999442639696486, 0.7033420789362724, 0.7061676253478754, 0.7009606079901597, 0.7082954788907009, 0.704620131755513, 0.7016312138031334]"
5,20,60,1,10,5.8879,0.9696230274279974,"[0.6903724558988449, 0.6944700265910627, 0.7009226575464018, 0.6969623167690376, 0.6997052771079116, 0.6980983040766116, 0.7059347508212167, 0.7032936309449604, 0.7116531148597913, 0.7080773298520372]"
5,20,60,1,12,6.8658,0.969731974184731,"[0.6833183324153637, 0.6861505326425941, 0.6851871878678492, 0.6832042954491019, 0.690116994151977, 0.689119445499767, 0.6964898504038305, 0.691489151326306, 0.695012342984816, 0.6946812175145405, 0.6935707762664111, 0.6965579797904963]"
5,20,60,1,12,6.8634,0.9708691555116901,"[0.679491524975432, 0.6834783478045912, 0.6933484913968501, 0.6893960552703486, 0.6913320334272613, 0.6927396549418405, 0.6928237900298945, 0.6890132937949774, 0.6981159306801964, 0.695391191746007, 0.6940747919813854, 0.7018883787361694]"
5,20,60,1,14,7.8617,0.9731437350306474,"[0.6763297918559436, 0.6859144870586916, 0.6832700407683084, 0.6816881688168089, 0.6791862422287261, 0.6814379338930792, 0.6840779079290863, 0.6807561388107015, 0.6824721958139945, 0.6903918187627133, 0.6927929284101423, 0.6905089064303118, 0.6914160566224137, 0.693125450314061]"
5,20,60,1,14,7.853,0.9744285525417817,"[0.6765776195892278, 0.6788613881936718, 0.6784694969008226, 0.6852637827013495, 0.6844444587749589, 0.6813537899631897, 0.6910826193063655, 0.6861538658313947, 0.6879398866044993, 0.6879894375957648, 0.6909645609022202, 0.6922411916235477, 0.6934071585748487, 0.6939213841574867]"
5,20,60,1,16,8.8152,0.973810342363235,"[0.6703054941584715, 0.6721329018323855, 0.6721031247373778, 0.677145269110154, 0.6728489241059757, 0.6844779627715555, 0.6745601744979193, 0.6771513927323747, 0.6769115830191582, 0.6782875009175832, 0.6800879605503418, 0.68110867597569, 0.6834702845131663, 0.6901818464088144, 0.6868792589729692, 0.6784066448625692]"
5,20,60,1,16,8.8051,0.9754480210762418,"[0.6658499104461851, 0.6717059886003598, 0.6692113444464985, 0.6798917139110817, 0.6741151259613122, 0.6818037101011368, 0.6788471867950611, 0.6811077723557604, 0.6804288302564926, 0.6867582535209028, 0.6796825973874032, 0.680387168261635, 0.6851875109167225, 0.6847930189628287, 0.6831215819432855, 0.684143645615471]"
5,20,60,2,10,6.3318,0.9528963373241952,"[0.6640758339735762, 0.6636039780300282, 0.6741316845141528, 0.6808255337713768, 0.68621562495805, 0.6996611962013832, 0.7017761882898842, 0.7031482388687438, 0.7114986617590318, 0.7196609889393069]"
5,20,60,2,10,6.3284,0.9577541132021075,"[0.6687131376697589, 0.6716246516344934, 0.6760861581587313, 0.6877320401809435, 0.6874530967579453, 0.6954342110980499, 0.7018400513411522, 0.7145859097929947, 0.7136173113380376, 0.7232487435830726]"
5,20,60,2,12,7.4144,0.9569665157216454,"[0.6557063496755233, 0.6607981144154149, 0.6625931383629714, 0.6689715751797105, 0.6811487168285945, 0.6769074055219144, 0.6828380339668264, 0.6892418871799859, 0.7001089255635248, 0.7023457546222767, 0.7033941829673639, 0.7161267457224957]"
5,20,60,2,12,7.3964,0.9614654530737816,"[0.648260218265703, 0.6632574289913925, 0.6668869726055191, 0.6707238718291201, 0.6848603914703386, 0.6806028744484636, 0.6886042198122801, 0.6946201793588896, 0.7002478807018484, 0.7065036254084754, 0.7059091689333896, 0.7179446706032115]"
5,20,60,2,14,8.4776,0.9598542015982287,"[0.6519391415065994, 0.653493146076289, 0.6536852659619159, 0.6636548912706794, 0.6704385525830405, 0.6698966925492772, 0.6695242691475922, 0.6793259527887358, 0.6828027727098639, 0.685571895311291, 0.6976228275264126, 0.6970470264881774, 0.7039557712788254, 0.7004789115274958]"
5,20,60,2,14,8.4698,0.9626127703721732,"[0.6446760940287046, 0.6546571294516205, 0.6595434611731666, 0.660370308859471, 0.6638621935424861, 0.6713860723253562, 0.6762180336297587, 0.6828537553397437, 0.6837229336569973, 0.689828783631471, 0.6943735941910453, 0.6946406403795902, 0.7020965931487633, 0.7127244565311345]"
5,20,60,2,16,9.5231,0.9626327421504297,"[0.6381460620278782, 0.6401817971495223, 0.6519981680744168, 0.6562178354800008, 0.6632241024131701, 0.662973935078526, 0.6636324840853436, 0.6724783305154691, 0.680887485741297, 0.6733719973644263, 0.6864346519943336, 0.6821526734614218, 0.6865670969762375, 0.6911110594444285, 0.6984139244414077, 0.7067668209274399]"
5,20,60,2,16,9.5198,0.9643448133567446,"[0.6378571753320461, 0.6484322813458377, 0.6522280461908359, 0.6519710622939956, 0.6652750571564442, 0.6621751842515291, 0.6632671181290146, 0.6761528490701113, 0.6721574365469367, 0.6782871114959785, 0.6821711733621085, 0.6850011789548515, 0.6967662764022258, 0.6953067779389527, 0.7027824172612697, 0.7116296013260399]"
5,20,70,0,10,4.711,0.9634855978023392,"[0.6909217694442724, 0.6988505803180726, 0.696331707590647, 0.689756148439157, 0.6969979952270943, 0.6926991253902878, 0.6916314264836849, 0.6905156510180577, 0.6902014909135331, 0.6972154769599092]"
5,20,70,0,10,4.7151,0.9644744338210669,"[0.6911320833152573, 0.6913834338465121, 0.6938826735349406, 0.6996732975844542, 0.6926502341724053, 0.6926879586884519, 0.6979562469709364, 0.692536119689354, 0.6925352730888472, 0.7029540026785196]"
5,20,70,0,12,5.487,0.9667094272714618,"[0.6907043257053281, 0.6838760215462923, 0.6901436819242442, 0.685764694129273, 0.6825295535376961, 0.6868188612769595, 0.6815436462856486, 0.6845364955719173, 0.6853324563994722, 0.6805985609054771, 0.6915254822446775, 0.6862044579796338]"
5,20,70,0,12,5.4633,0.9666958659061773,"[0.679461174105084, 0.6818061304887645, 0.6845053764257581, 0.6893381549396906, 0.6847641148397892, 0.6836537514810106, 0.6787815282647455, 0.6897549982923261, 0.6893039755333419, 0.6893260273685933, 0.6887503708860788, 0.6879277699094692]"
5,20,70,0,14,6.2141,0.9692347283817173,"[0.6733496982408435, 0.6791797567457722, 0.6747603386935433, 0.6777717693024193, 0.6833787526787104, 0.6776536742255289, 0.6816493750652318, 0.6765891114484567, 0.6810745438301605, 0.6775374860529506, 0.6744287659495068, 0.6766195482891001, 0.6817524681573355, 0.6770000199606702]"
5,20,70,0,14,6.2242,0.9698363327853103,"[0.6777076466198728, 0.6781974970604241, 0.6857199820992269, 0.6842140190018114, 0.682273004343722, 0.6752881700256845, 0.6752039183133488, 0.6811972406446035, 0.6747456105243956, 0.6753719386771218, 0.6828285862541026, 0.6837558738330277, 0.680198930465861, 0.6845282782457718]"
5,20,70,0,16,6.9743,0.9706269387441826,"[0.6730821272828716, 0.6705211742347869, 0.6732379572840821, 0.6795718120180002, 0.6781778256518692, 0.6748543673512358, 0.667545470107338, 0.6740578728897462, 0.6808266439026344, 0.6730080599926953, 0.666033600079629, 0.6763481854770366, 0.6666738822035762, 0.6794291365566367, 0.6764441970357774, 0.6742362983766957]"
5,20,70,0,16,6.9597,0.9712913839782481,"[0.6721372835246663, 0.6739639450191757, 0.6704730735941687, 0.6770479385249886, 0.6758380050231676, 0.6775556436218289, 0.6792101066724556, 0.6701033581920292, 0.6666243225962254, 0.6793405779705111, 0.6765991353498374, 0.6745804620776479, 0.6700891418819901, 0.6737486115788877, 0.6719753479894366, 0.6765633359628962]"
5,20,70,1,10,4.8992,0.9525579072891467,"[0.6708333259357895, 0.6761682750706982, 0.6812239934857011, 0.6798992245152045, 0.6895360809860089, 0.6863374378224297, 0.6956733075691762, 0.7000744590654115, 0.6982418292085085, 0.6996283421837461]"
5,20,70,1,10,4.9046,0.9561639008410442,"[0.67735749961428, 0.6767242842131863, 0.6809989332755652, 0.683100171527788, 0.6902669546407274, 0.6945155212823592, 0.6930859917684911, 0.7031369885237757, 0.6961891209854247, 0.704304572159984]"
